id,name,age,grade
160,Student_160,16,81
161,Student_161,13,47
162,Student_162,15,99
163,Student_163,15,40
164,Student_164,14,82
165,Student_165,10,80
166,Student_166,17,15
167,Student_167,12,51
168,Student_168,11,70
169,Student_169,10,86
170,Student_170,15,32
171,Student_171,16,22
172,Student_172,10,71
173,Student_173,14,81
174,Student_174,12,35
175,Student_175,15,9
176,Student_176,11,94
177,Student_177,16,40
178,Student_178,13,52
179,Student_179,18,84
180,Student_180,11,68
181,Student_181,13,74
182,Student_182,11,21
183,Student_183,18,54
184,Student_184,17,70
185,Student_185,12,23
186,Student_186,15,17
187,Student_187,17,99
188,Student_188,14,52
189,Student_189,14,26
190,Student_190,12,100
191,Student_191,10,97
192,Student_192,18,56
193,Student_193,18,89
194,Student_194,15,19
195,Student_195,13,28
196,Student_196,13,70
197,Student_197,16,85
198,Student_198,18,86
199,Student_199,17,40
200,Student_200,17,89
201,Student_201,15,85
202,Student_202,10,94
203,Student_203,11,79
204,Student_204,18,67
205,Student_205,15,58
206,Student_206,10,37
207,Student_207,10,94
208,Student_208,15,98
209,Student_209,10,28
210,Student_210,11,30
211,Student_211,14,49
212,Student_212,16,45
213,Student_213,15,100
214,Student_214,12,17
215,Student_215,16,1
216,Student_216,12,49
217,Student_217,12,18
218,Student_218,16,37
219,Student_219,15,75
220,Student_220,17,72
221,Student_221,15,31
222,Student_222,15,54
223,Student_223,10,51
224,Student_224,13,64
225,Student_225,12,25
226,Student_226,12,59
227,Student_227,18,98
228,Student_228,13,49
229,Student_229,18,91
230,Student_230,15,43
231,Student_231,17,35
232,Student_232,14,65
233,Student_233,15,67
234,Student_234,14,87
235,Student_235,11,23
236,Student_236,16,50
237,Student_237,12,57
238,Student_238,10,77
239,Student_239,15,4
240,Student_240,11,100
241,Student_241,18,47
242,Student_242,18,28
243,Student_243,18,89
244,Student_244,13,75
245,Student_245,10,96
246,Student_246,18,33
247,Student_247,13,55
248,Student_248,18,57
249,Student_249,18,99
250,Student_250,17,7
251,Student_251,12,30
252,Student_252,13,19
253,Student_253,17,27
254,Student_254,12,49
255,Student_255,11,37
256,Student_256,15,39
257,Student_257,18,85
258,Student_258,16,93
259,Student_259,15,7
260,Student_260,10,21
261,Student_261,15,67
262,Student_262,18,36
263,Student_263,11,25
264,Student_264,14,29
265,Student_265,17,32
266,Student_266,16,85
267,Student_267,16,13
268,Student_268,16,71
269,Student_269,13,55
270,Student_270,12,29
271,Student_271,17,42
272,Student_272,17,25
273,Student_273,17,61
274,Student_274,18,8
275,Student_275,14,0
276,Student_276,14,63
277,Student_277,17,19
278,Student_278,15,7
279,Student_279,16,40
280,Student_280,17,5
281,Student_281,18,89
282,Student_282,13,2
283,Student_283,13,58
284,Student_284,10,44
285,Student_285,15,67
286,Student_286,10,33
287,Student_287,14,15
288,Student_288,14,99
289,Student_289,12,84
290,Student_290,15,86
291,Student_291,10,25
292,Student_292,10,3
293,Student_293,17,30
294,Student_294,13,54
295,Student_295,11,32
296,Student_296,14,83
297,Student_297,16,27
298,Student_298,11,97
299,Student_299,15,46
300,Student_300,10,85
301,Student_301,10,19
302,Student_302,14,41
303,Student_303,14,70
304,Student_304,15,13
305,Student_305,16,13
306,Student_306,18,97
307,Student_307,14,72
308,Student_308,12,4
309,Student_309,17,40
310,Student_310,12,43
311,Student_311,13,75
312,Student_312,10,25
313,Student_313,10,18
314,Student_314,18,8
315,Student_315,17,43
316,Student_316,16,69
317,Student_317,13,5
318,Student_318,11,92
319,Student_319,11,44
320,Student_320,12,24
321,Student_321,14,9
322,Student_322,16,18
323,Student_323,15,94
324,Student_324,12,64
325,Student_325,18,52
326,Student_326,16,66
327,Student_327,14,44
328,Student_328,15,73
329,Student_329,13,4
330,Student_330,12,57
331,Student_331,13,16
332,Student_332,16,12
333,Student_333,10,34
334,Student_334,11,9
335,Student_335,10,9
336,Student_336,10,31
337,Student_337,17,98
338,Student_338,16,17
339,Student_339,14,1
340,Student_340,10,77
341,Student_341,14,81
342,Student_342,14,34
343,Student_343,11,46
344,Student_344,13,65
345,Student_345,13,4
346,Student_346,15,95
347,Student_347,15,89
348,Student_348,10,26
349,Student_349,13,1
350,Student_350,15,94
351,Student_351,14,50
352,Student_352,17,54
353,Student_353,15,69
354,Student_354,11,62
355,Student_355,10,95
356,Student_356,15,95
357,Student_357,10,87
358,Student_358,15,64
359,Student_359,18,80
360,Student_360,15,68
361,Student_361,13,57
362,Student_362,15,12
363,Student_363,14,81
364,Student_364,14,82
365,Student_365,18,63
366,Student_366,13,82
367,Student_367,18,65
368,Student_368,18,20
369,Student_369,11,27
370,Student_370,10,21
371,Student_371,10,38
372,Student_372,10,3
373,Student_373,10,62
374,Student_374,16,33
375,Student_375,10,66
376,Student_376,12,38
377,Student_377,17,68
378,Student_378,10,34
379,Student_379,17,26
380,Student_380,12,50
381,Student_381,11,69
382,Student_382,16,35
383,Student_383,15,94
384,Student_384,17,3
385,Student_385,16,42
386,Student_386,17,97
387,Student_387,12,55
388,Student_388,11,42
389,Student_389,16,57
390,Student_390,17,58
391,Student_391,18,73
392,Student_392,13,12
393,Student_393,13,25
394,Student_394,16,58
395,Student_395,13,87
396,Student_396,18,56
397,Student_397,17,24
398,Student_398,13,68
399,Student_399,16,74
400,Student_400,16,24
401,Student_401,10,38
402,Student_402,18,53
403,Student_403,14,50
404,Student_404,17,39
405,Student_405,12,30
406,Student_406,18,10
407,Student_407,13,5
408,Student_408,10,96
409,Student_409,18,85
410,Student_410,10,35
411,Student_411,12,96
412,Student_412,18,68
413,Student_413,18,48
414,Student_414,15,49
415,Student_415,15,8
416,Student_416,14,9
417,Student_417,12,60
418,Student_418,12,55
419,Student_419,16,21
420,Student_420,16,95
421,Student_421,17,78
422,Student_422,17,11
423,Student_423,10,94
424,Student_424,14,98
425,Student_425,10,100
426,Student_426,14,5
427,Student_427,13,74
428,Student_428,17,55
429,Student_429,13,71
430,Student_430,11,97
431,Student_431,11,69
432,Student_432,16,84
433,Student_433,15,87
434,Student_434,10,84
435,Student_435,10,43
436,Student_436,16,22
437,Student_437,10,40
438,Student_438,17,90
439,Student_439,16,14
440,Student_440,10,51
441,Student_441,10,23
442,Student_442,18,58
443,Student_443,13,87
444,Student_444,13,88
445,Student_445,17,23
446,Student_446,18,91
447,Student_447,18,59
448,Student_448,16,35
449,Student_449,13,71
450,Student_450,10,48
451,Student_451,16,38
452,Student_452,15,71
453,Student_453,13,25
454,Student_454,18,33
455,Student_455,11,43
456,Student_456,14,25
457,Student_457,10,40
458,Student_458,14,57
459,Student_459,10,74
460,Student_460,11,77
461,Student_461,11,83
462,Student_462,15,75
463,Student_463,16,68
464,Student_464,15,23
465,Student_465,18,40
466,Student_466,13,48
467,Student_467,12,8
468,Student_468,17,53
469,Student_469,12,44
470,Student_470,18,81
471,Student_471,10,98
472,Student_472,18,56
473,Student_473,10,32
474,Student_474,18,4
475,Student_475,14,93
476,Student_476,18,92
477,Student_477,10,25
478,Student_478,14,70
479,Student_479,18,7
480,Student_480,14,16
481,Student_481,15,21
482,Student_482,16,29
483,Student_483,14,100
484,Student_484,15,70
485,Student_485,15,38
486,Student_486,18,74
487,Student_487,10,92
488,Student_488,12,96
489,Student_489,18,5
490,Student_490,18,39
491,Student_491,14,10
492,Student_492,15,33
493,Student_493,12,17
494,Student_494,11,65
495,Student_495,14,39
496,Student_496,13,23
497,Student_497,15,26
498,Student_498,10,36
499,Student_499,18,26
500,Student_500,18,45
501,Student_501,16,3
502,Student_502,14,28
503,Student_503,12,41
504,Student_504,17,60
505,Student_505,16,27
506,Student_506,11,13
507,Student_507,18,7
508,Student_508,17,94
509,Student_509,18,42
510,Student_510,16,58
511,Student_511,15,92
512,Student_512,13,8
513,Student_513,18,88
514,Student_514,17,55
515,Student_515,10,16
516,Student_516,10,41
517,Student_517,13,78
518,Student_518,17,48
519,Student_519,18,99
520,Student_520,11,38
521,Student_521,15,75
522,Student_522,13,39
523,Student_523,18,83
524,Student_524,17,57
525,Student_525,17,6
526,Student_526,14,3
527,Student_527,13,13
528,Student_528,12,1
529,Student_529,10,7
530,Student_530,17,69
531,Student_531,17,53
532,Student_532,18,75
533,Student_533,18,92
534,Student_534,14,59
535,Student_535,16,73
536,Student_536,18,76
537,Student_537,17,38
538,Student_538,12,24
539,Student_539,14,20
540,Student_540,11,25
541,Student_541,18,27
542,Student_542,15,20
543,Student_543,12,88
544,Student_544,16,76
545,Student_545,15,4
546,Student_546,13,27
547,Student_547,11,2
548,Student_548,16,50
549,Student_549,14,48
550,Student_550,16,83
551,Student_551,14,31
552,Student_552,17,82
553,Student_553,14,97
554,Student_554,15,8
555,Student_555,17,79
556,Student_556,13,59
557,Student_557,11,48
558,Student_558,10,42
559,Student_559,16,79
560,Student_560,15,64
561,Student_561,16,81
562,Student_562,11,91
563,Student_563,11,62
564,Student_564,10,99
565,Student_565,13,61
566,Student_566,15,64
567,Student_567,13,56
568,Student_568,13,9
569,Student_569,18,73
570,Student_570,13,55
571,Student_571,14,45
572,Student_572,17,91
573,Student_573,13,30
574,Student_574,15,52
575,Student_575,17,70
576,Student_576,18,80
577,Student_577,11,46
578,Student_578,18,85
579,Student_579,14,77
580,Student_580,12,6
581,Student_581,14,4
582,Student_582,18,62
583,Student_583,14,35
584,Student_584,12,21
585,Student_585,15,58
586,Student_586,12,34
587,Student_587,10,54
588,Student_588,11,46
589,Student_589,11,59
590,Student_590,11,40
591,Student_591,11,70
592,Student_592,15,18
593,Student_593,11,70
594,Student_594,13,41
595,Student_595,18,88
596,Student_596,14,52
597,Student_597,16,98
598,Student_598,11,60
599,Student_599,11,22
600,Student_600,10,83
601,Student_601,11,34
602,Student_602,12,35
603,Student_603,11,3
604,Student_604,10,55
605,Student_605,11,53
606,Student_606,14,35
607,Student_607,11,90
608,Student_608,13,13
609,Student_609,14,33
610,Student_610,16,32
611,Student_611,10,9
612,Student_612,17,48
613,Student_613,15,69
614,Student_614,10,51
615,Student_615,17,15
616,Student_616,18,38
617,Student_617,10,0
618,Student_618,12,87
619,Student_619,17,8
620,Student_620,16,60
621,Student_621,11,99
622,Student_622,11,54
623,Student_623,13,93
624,Student_624,14,23
625,Student_625,15,76
626,Student_626,13,53
627,Student_627,14,72
628,Student_628,16,6
629,Student_629,10,14
630,Student_630,12,13
631,Student_631,16,69
632,Student_632,18,85
633,Student_633,14,75
634,Student_634,14,3
635,Student_635,10,87
636,Student_636,14,35
637,Student_637,14,40
638,Student_638,12,10
639,Student_639,12,74
640,Student_640,13,18
641,Student_641,10,56
642,Student_642,12,84
643,Student_643,11,9
644,Student_644,12,54
645,Student_645,11,23
646,Student_646,18,34
647,Student_647,15,47
648,Student_648,16,35
649,Student_649,17,65
650,Student_650,14,48
651,Student_651,10,59
652,Student_652,14,74
653,Student_653,15,56
654,Student_654,16,59
655,Student_655,13,57
656,Student_656,11,38
657,Student_657,12,34
658,Student_658,13,90
659,Student_659,15,61
660,Student_660,15,24
661,Student_661,13,50
662,Student_662,18,33
663,Student_663,15,94
664,Student_664,12,0
665,Student_665,10,22
666,Student_666,11,36
667,Student_667,12,49
668,Student_668,11,85
669,Student_669,11,8
670,Student_670,12,81
671,Student_671,11,5
672,Student_672,18,85
673,Student_673,10,5
674,Student_674,14,1
675,Student_675,13,70
676,Student_676,18,100
677,Student_677,11,90
678,Student_678,13,58
679,Student_679,18,92
680,Student_680,17,0
681,Student_681,17,98
682,Student_682,12,49
683,Student_683,11,73
684,Student_684,16,82
685,Student_685,18,72
686,Student_686,15,54
687,Student_687,15,48
688,Student_688,12,84
689,Student_689,16,20
690,Student_690,11,97
691,Student_691,12,71
692,Student_692,13,20
693,Student_693,14,74
694,Student_694,12,53
695,Student_695,11,71
696,Student_696,15,77
697,Student_697,12,8
698,Student_698,15,51
699,Student_699,11,94
700,Student_700,14,32
701,Student_701,14,59
702,Student_702,10,37
703,Student_703,13,45
704,Student_704,11,55
705,Student_705,10,55
706,Student_706,18,20
707,Student_707,12,69
708,Student_708,17,8
709,Student_709,12,14
710,Student_710,16,0
711,Student_711,16,11
712,Student_712,15,47
713,Student_713,14,61
714,Student_714,13,80
715,Student_715,13,10
716,Student_716,18,85
717,Student_717,17,75
718,Student_718,18,41
719,Student_719,11,94
720,Student_720,16,100
721,Student_721,18,20
722,Student_722,11,38
723,Student_723,10,93
724,Student_724,16,72
725,Student_725,15,4
726,Student_726,17,78
727,Student_727,11,83
728,Student_728,17,75
729,Student_729,11,80
730,Student_730,11,83
731,Student_731,11,18
732,Student_732,17,23
733,Student_733,15,64
734,Student_734,14,91
735,Student_735,13,31
736,Student_736,17,59
737,Student_737,13,68
738,Student_738,17,45
739,Student_739,13,72
740,Student_740,13,90
741,Student_741,14,63
742,Student_742,12,54
743,Student_743,16,44
744,Student_744,14,58
745,Student_745,12,35
746,Student_746,18,39
747,Student_747,13,53
748,Student_748,14,6
749,Student_749,18,23
750,Student_750,15,54
751,Student_751,11,43
752,Student_752,18,33
753,Student_753,15,73
754,Student_754,13,70
755,Student_755,11,16
756,Student_756,17,88
757,Student_757,15,50
758,Student_758,14,74
759,Student_759,18,57
760,Student_760,17,100
761,Student_761,11,75
762,Student_762,12,71
763,Student_763,12,78
764,Student_764,16,14
765,Student_765,10,20
766,Student_766,15,72
767,Student_767,16,49
768,Student_768,17,76
769,Student_769,13,10
770,Student_770,17,54
771,Student_771,10,38
772,Student_772,17,46
773,Student_773,11,60
774,Student_774,13,50
775,Student_775,17,54
776,Student_776,11,49
777,Student_777,12,41
778,Student_778,16,77
779,Student_779,16,1
780,Student_780,15,60
781,Student_781,16,57
782,Student_782,14,72
783,Student_783,12,60
784,Student_784,13,83
785,Student_785,11,96
786,Student_786,18,34
787,Student_787,15,22
788,Student_788,13,42
789,Student_789,14,29
790,Student_790,18,62
791,Student_791,11,92
792,Student_792,15,14
793,Student_793,14,10
794,Student_794,15,25
795,Student_795,10,73
796,Student_796,17,59
797,Student_797,18,10
798,Student_798,15,92
799,Student_799,16,79
800,Student_800,18,2
801,Student_801,16,65
802,Student_802,11,77
803,Student_803,15,37
804,Student_804,15,6
805,Student_805,13,7
806,Student_806,16,10
807,Student_807,18,84
808,Student_808,18,91
809,Student_809,14,12
810,Student_810,11,23
811,Student_811,18,16
812,Student_812,17,18
813,Student_813,11,84
814,Student_814,18,33
815,Student_815,17,31
816,Student_816,14,22
817,Student_817,15,61
818,Student_818,13,38
819,Student_819,10,75
820,Student_820,13,20
821,Student_821,17,79
822,Student_822,10,60
823,Student_823,13,11
824,Student_824,13,41
825,Student_825,14,87
826,Student_826,18,93
827,Student_827,13,47
828,Student_828,13,48
829,Student_829,16,92
830,Student_830,14,59
831,Student_831,12,3
832,Student_832,14,92
833,Student_833,11,25
834,Student_834,11,58
835,Student_835,14,16
836,Student_836,13,3
837,Student_837,18,31
838,Student_838,13,78
839,Student_839,15,28
840,Student_840,15,22
841,Student_841,10,21
842,Student_842,15,52
843,Student_843,11,98
844,Student_844,18,46
845,Student_845,11,56
846,Student_846,13,86
847,Student_847,10,54
848,Student_848,18,18
849,Student_849,14,30
850,Student_850,15,31
851,Student_851,10,40
852,Student_852,16,43
853,Student_853,11,80
854,Student_854,18,35
855,Student_855,11,47
856,Student_856,11,63
857,Student_857,10,38
858,Student_858,14,84
859,Student_859,15,59
860,Student_860,10,29
861,Student_861,16,72
862,Student_862,14,53
863,Student_863,14,53
864,Student_864,13,48
865,Student_865,13,50
866,Student_866,15,77
867,Student_867,11,10
868,Student_868,11,33
869,Student_869,17,7
870,Student_870,18,76
871,Student_871,13,27
872,Student_872,12,90
873,Student_873,15,53
874,Student_874,13,80
875,Student_875,10,98
876,Student_876,11,84
877,Student_877,16,87
878,Student_878,15,41
879,Student_879,10,55
880,Student_880,11,25
881,Student_881,12,19
882,Student_882,16,51
883,Student_883,10,60
884,Student_884,10,34
885,Student_885,17,57
886,Student_886,11,89
887,Student_887,15,56
888,Student_888,12,72
889,Student_889,10,81
890,Student_890,12,99
891,Student_891,16,60
892,Student_892,17,81
893,Student_893,17,97
894,Student_894,13,95
895,Student_895,16,14
896,Student_896,11,41
897,Student_897,12,32
898,Student_898,18,8
899,Student_899,10,63
900,Student_900,10,74
901,Student_901,11,85
902,Student_902,10,12
903,Student_903,11,88
904,Student_904,15,64
905,Student_905,13,71
906,Student_906,18,91
907,Student_907,17,63
908,Student_908,13,33
909,Student_909,12,83
910,Student_910,13,36
911,Student_911,15,3
912,Student_912,12,83
913,Student_913,15,34
914,Student_914,13,78
915,Student_915,14,36
916,Student_916,13,86
917,Student_917,12,22
918,Student_918,18,98
919,Student_919,16,78
920,Student_920,11,11
921,Student_921,17,57
922,Student_922,14,99
923,Student_923,18,47
924,Student_924,17,18
925,Student_925,13,48
926,Student_926,10,51
927,Student_927,12,74
928,Student_928,14,70
929,Student_929,15,40
930,Student_930,12,22
931,Student_931,11,65
932,Student_932,17,42
933,Student_933,18,13
934,Student_934,14,90
935,Student_935,11,69
936,Student_936,12,69
937,Student_937,10,83
938,Student_938,18,53
939,Student_939,11,82
940,Student_940,15,50
941,Student_941,12,6
942,Student_942,14,40
943,Student_943,15,50
944,Student_944,17,72
945,Student_945,11,10
946,Student_946,10,14
947,Student_947,11,26
948,Student_948,18,26
949,Student_949,17,73
950,Student_950,15,25
951,Student_951,15,63
952,Student_952,15,49
953,Student_953,11,57
954,Student_954,18,84
955,Student_955,13,40
956,Student_956,13,77
957,Student_957,14,42
958,Student_958,10,35
959,Student_959,11,96
960,Student_960,16,18
961,Student_961,10,9
962,Student_962,15,77
963,Student_963,12,6
964,Student_964,13,84
965,Student_965,12,44
966,Student_966,13,92
967,Student_967,16,72
968,Student_968,12,61
969,Student_969,15,95
970,Student_970,14,40
971,Student_971,15,96
972,Student_972,18,13
973,Student_973,16,48
974,Student_974,11,27
975,Student_975,10,54
976,Student_976,12,16
977,Student_977,15,84
978,Student_978,10,85
979,Student_979,14,96
980,Student_980,15,15
981,Student_981,13,62
982,Student_982,16,47
983,Student_983,10,34
984,Student_984,10,35
985,Student_985,16,41
986,Student_986,14,71
987,Student_987,16,60
988,Student_988,13,46
989,Student_989,12,7
990,Student_990,17,7
991,Student_991,17,0
992,Student_992,16,97
993,Student_993,12,0
994,Student_994,15,10
995,Student_995,13,31
996,Student_996,10,81
997,Student_997,18,97
998,Student_998,11,79
999,Student_999,18,69
1000,Student_1000,14,52
